,question1
0,каков история кохинор кохиноорбриллиант 
1,мочь увеличить скорость мой интернетсоединение использовать 
2,почему мысленно очень одинокий мочь это решить 
3,который растворять вода быстро сахарный соль метан углеродный диоксид 
4,астрология лунаколпачок козерог крышка поднимать это говорить о 
5,должный купить 
6,мочь хороший геолог 
7,использовать вместо 
8,компания мочь взломать чартер 
9,метод определение разделение прорезь использование бипризма френель 
10,читать находить комментарий 
11,сделать физика лёгкий изучение 
12,ваш один сексуальный опыт 
13,каков закон изменение ваш статус студенческий виза зелёный карта сравниваться иммиграционный законодательство канада 
14,означать президентство козырь нынешний иностранный студентовмагистр визе 
15,означать манипуляция 
16,почему девушка хотеть дружить парень который отвергать 
17,почему пользователь публиковать вопрос который легко ответить 
18,который являться хороший учреждение цифровой маркетинг 
19,почему ракета выглядеть белый 
20,заставлять коготь завидуть 
21,какой вопрос следовать задавать 
22,сколько кв 
23,это означать каждый смотреть часы цифра одинаковый 
24,каков некоторый совет внедрение процесс собеседование лекарство 
25,такой вебприложение 
26,делать общество слишком большой значение спорт 
27,хороший способ заработать деньга интернет 
28,должный готовиться заключительный закон 
29,хотеть сделать 
30,какой особый забота коготь нос который задыхаться ночное время 
31,игра престол злодей наиболее вероятный дать милость 
32,правительство соединить штат попрежний занимать чёрный место занятость том далее некоторый гражданин соединить штат политический взгляд 
33,хороший вебсайт путешествие испания 
34,почему некоторый человек думать обама попытаться отнять оружие 
35,я год мочь улучшить свой навык должный сделать стать предприниматель ближний несколько год 
36,подруга спрашивать свой парень почему выбрать заставлять хотеть я ответить 
37,готовиться 
38,каков скорость сваливание крыло полностью отбросить назад 
39,почему славянин приседать 
40,мочь ожидать знакомый почта подтверждение 
41,мочь зарабатывать ежемесячно 
42,являться хороший ребёнок являться повстанец который стоить долгосрочный перспектива 
43,какой университет делать набирать новый выпускник майор искать 
44,каков самый быстрый способ увеличить число последователь 
45,дарт вейдёр сражаться дарт мол легенда звёздный война 
46,каков стадия разрыв пара иметь вид происходить эмоциональный разрыв быть мужчина женщина 
47,какой пример продукт который изготовить сырой нефть 
48,подружиться 
49,являться профессиональный пусковой установка пригодный подготовка 
50,играть обычный игрок 
51,грустный 
52,самый запоминаться когдалибо есть почему 
53,влиять сотрудник полиция налоговый орган 
54,трудно попасть 
55,израиль 
56,какой хороший рэппеснь танцевать 
57,неожиданно выйти мочь вспомнить свой пароль понять адрес электронный почта восстановление живой мочь сделать 
58,каков хороший способ изучение французский язык 
59,мочь скачать контент торрент регистрация 
60,нормальный иметь тёмный кольцо вокруг радужка глаз 
61,новый книга гарри поттер гарри поттер проклятый ребёнок 
62,почему впадать депрессия 
63,мочь найти база дать европейский семейный офис 
64,такой программирование изучать язык программирование 
65,хороший книга когдалибо сделать 
66,мочь когдалибо хранить энергия произвести молния 
67,каков ваш обзор тестирование производительность 
68,цена такой конфиденциальность германия приходить потерять получить конфиденциальность 
69,каков тип иммунитет 
70,такой расстройство нарциссический личность 
71,мочь свободно говорить поанглийски 
72,полезно быстрый восстановление дать восстановление дать помощь восстановление повредить файл дать 
73,который являться самый богатый игрок время мочь достигнуть уровень 
74,стрелять пуля назад самолёт идти быстрый пуля пуля идти назад 
75,предотвратить рак молочный железа 
76,выйти мой учётный запись мыть телефон друг 
77,мочь зарабатывать деньга интернет 
78,цель жизнь 
79,правительство вывести мусульманин христиана индийский гражданство поместить лодка ронингие 
80,такой правильный этикет желающий засвидетельствовать день рождение джедай 
81,ктоть хотеть открыть коммерческий радиостанция ​​ любой город индия сколько это стоить каков процедура 
82,почему швейцарец презирать азиат 
83,каков некоторый высокооплачиваемый работа область биотехнология 
84,мочь увеличить свой рост год 
85,каков основной последствие землетрясение камбоджа эффект сравниваться землетрясение камчатка год 
86,разница искренность честность 
87,который являться хороший игровой ноутбук 
88,каков ваш обзор следующий воин полигон часть 
89,являться хороший справочник класс физика го 
90,национальный институт технология курукшетр социальный жизнь нитка сураткале 
91,какой хороший романтический фильм английский язык 
92,вызывать кошмар 
93,такой абстрактный экспрессионизм живопись 
94,работать печать 
95,каков посещение катех джерий эрхардт 
96,почему гарри стать хрусткать 
97,какой хороший программный продукт программа менеджер продукт который ктоть ранний ти присоединиться изучить управление продукт получить достойный карьер компания 
98,почему число занятый 
99,действительно какаять война индия пакистан нападение ури каков быть последствие 
